"feature","factor","stage","mu.star","sigma","n_na"
"skin","up3.S_ceiling","up3",0.022180238297584,0.0190212998159554,1
"skin","up4.ALR","up4",0,0,0
"skin","up4.P_system","up4",0,0,0
"skin","up4.P_feed","up4",0,0,0
"skin","up4.mdot_L","up4",0.291443995418733,0.379898053661655,1
"skin","up4.T_system","up4",0.398975327079435,0.393345306632976,1
"skin","up4.mdot_gas_dry","up4",0.279563786583523,0.481739133404662,1
"skin","up4.Y_in","up4",0.00743886775676594,0.0131274118349174,0
"skin","up4.t_hold","up4",0,0,0
"skin","up4.Tg_polymer","up4",0,0,0
"skin","up4.n_flow","up4",0,0,0
"skin","up4.k_perm_mono","up4",0,0,0
"skin","up4.k_perm_plast","up4",0,0,1
"skin","up4.k_perm_bind","up4",0,0,1
"skin","up4.T_bp_solv","up4",0,0,0
"tapped","up1.v_tip","up1",83.6938240962194,63.6411862749471,0
"tapped","up1.tau_mix","up1",7.25885137764126,8.52544607614387,0
"tapped","up1.P_mix","up1",0.322973563513071,0.584323279554708,0
"tapped","up1.T_mix","up1",63.5069328443087,60.0646903166456,0
"tapped","up1.C_gas_diss_temp","up1",0.296537222585237,0.640667488235871,0
"tapped","up1.Q_gas","up1",3.937449134016,5.54159432870594,0
"tapped","up1.Q_colloid","up1",19.8478316965515,37.14186585715,0
"tapped","up1.Q_template","up1",24.3447043082742,36.1253137117192,0
"tapped","up1.C_solid_mass","up1",35.5664616296735,37.5647778709656,1
"tapped","up1.C_temp_mass","up1",2.47114921118434e-11,7.50781066486859e-11,0
"tapped","up1.D_particle","up1",0.041039509425563,0.0690649084682611,1
"tapped","up1.D_template","up1",0.0472360898909191,0.0612180528766748,1
"tapped","up1.C_binder","up1",78.7753330329018,90.0192511479687,0
"tapped","up1.C_monomer","up1",27.5441411203708,32.4245369995666,0
"tapped","up1.C_plasticizer","up1",15.8276722076667,25.263211116297,0
"tapped","up1.C_surfactant","up1",6.24165430563023,7.56135186946212,1
"tapped","up1.CMC","up1",0.253929711755573,0.660393630358644,0
"tapped","up1.HLB","up1",21.9457341424999,66.0275190602212,1
"tapped","up1.MW_surfactant","up1",0.619362022723325,1.23115704061997,1
"tapped","up1.A_molecule","up1",0.0342728189834958,0.0916328796154344,0
"tapped","up1.D_surf","up1",0.000521974270945099,0.00116211525019092,0
"tapped","up1.ionic_strength","up1",9.54146566402864,17.176539422792,1
"tapped","up1.Delta_pH","up1",9.68798474043037,9.31433100453897,1
"tapped","up1.template_dose","up1",48.0882584320613,47.9995662103095,0
"tapped","up2.K_coal","up2",0.104073704440612,0.282502587470012,0
"tapped","up2.K_break","up2",0.000113773976978719,0.000280626163124865,1
"tapped","up2.K_burst","up2",3.58554223214353,12.2616150903871,0
"tapped","up2.d_b_burst","up2",0.0755911757533596,0.261440044248194,0
"tapped","up2.frac_gas_coarse_ref","up2",2.14121101156643,3.42124557540327,1
"tapped","up3.rpm","up3",3.51161997778085,5.98792069570673,0
"tapped","up3.delta_rpm","up3",9.13139251047586,22.0479769569463,1
"tapped","up3.r_pool","up3",3.13652655599599,6.83851960818243,0
"tapped","up3.flow_rate_lpm","up3",1.95196556751874,2.83902458163392,0
"tapped","up3.pop_frac","up3",3.02312909680925,4.06631120926559,0
"tapped","up3.gas_sat_frac","up3",0.911912984704211,1.83999659308554,0
"tapped","up3.t_recover_sec","up3",4.2123709735146e-07,1.45915633499004e-06,0
"tapped","up3.contact_angle_deg","up3",6.33590983531753,10.5896184739385,0
"tapped","up3.chi_parameter","up3",1.56232324765205,1.83571439916847,1
"tapped","up3.S_base","up3",20.26443371003,22.8642066217079,1
"tapped","up3.S_ceiling","up3",7.73377772459717,10.6434391222004,1
"tapped","up4.ALR","up4",99.7186767441495,114.837520918587,0
"tapped","up4.P_system","up4",30.996427774371,33.6865061429205,0
"tapped","up4.P_feed","up4",5.213652977464,7.19727667055309,0
"tapped","up4.mdot_L","up4",46.7760494798034,65.8512798992805,1
"tapped","up4.T_system","up4",47.0484931084458,51.2104107593546,1
"tapped","up4.mdot_gas_dry","up4",47.9961821366301,76.9822000035448,1
"tapped","up4.Y_in","up4",2.89375314251215,8.70446627636266,0
"tapped","up4.t_hold","up4",0.179358214688604,0.347976363949379,0
"tapped","up4.Tg_polymer","up4",16.1224995687416,26.5436625980327,0
"tapped","up4.n_flow","up4",36.3106482320489,52.2075639512973,0
"tapped","up4.k_perm_mono","up4",24.1222067031327,30.6007687011476,0
"tapped","up4.k_perm_plast","up4",16.709880562343,21.8052346523809,1
"tapped","up4.k_perm_bind","up4",54.2743360608592,51.3250103407019,1
"tapped","up4.T_bp_solv","up4",29.7957486900283,43.9532087286225,0
