"output","group","factor","mu","mu.star","sigma"
"Entrained_Gas_Holdup","surface","HLB_value",-0.158344286126904,0.172764060349886,0.177365953260094
"Entrained_Gas_Holdup","surface","surf_dose_kg_m3",0,0,0
"Entrained_Gas_Holdup","surface","t_recover_sec",2.66663358061692e-12,2.66695415751528e-12,1.33295676974594e-11
"Entrained_Gas_Holdup","surface","I_strength",-0.00171631632889214,0.00282983573695613,0.00509172943652324
"Entrained_Gas_Holdup","surface","Delta_pH",0.00263551456393994,0.00263551456393994,0.00294354178079062
"Entrained_Gas_Holdup","surface","contact_angle_deg",-0.093693594535409,0.165760661917274,0.281128460637346
"Entrained_Gas_Holdup","additive","plasticizer_frac",-0.0152360701643511,0.0160179025775407,0.0193247089010414
"Entrained_Gas_Holdup","additive","C_monomer",1.44560289664734e-19,7.77734358396269e-18,2.6740397527382e-17
"Entrained_Gas_Holdup","additive","C_binder",-0.0170597216106655,0.0170597216106655,0.0188572794812418
"Entrained_Gas_Holdup","additive","chi_parameter",0,0,0
"Entrained_Gas_Holdup","additive","S_base",0.0242808075494418,0.0242808075494418,0.0236858040347236
"Entrained_Gas_Holdup","additive","S_ceiling",0.0147341792506941,0.0147341792506941,0.0180042889798951
"Exit_Density_kg_m3","process","rpm",71.707179151215,71.707179151215,157.466779345318
"Exit_Density_kg_m3","process","delta_rpm",-10.9228062414976,22.6245174412204,35.2224436864437
"Exit_Density_kg_m3","process","r_pool",29.842219518059,42.9591607946939,58.7895633637019
"Exit_Density_kg_m3","process","flow_rate_lpm",-57.4644165548257,57.4644165548257,148.941230758511
"Exit_Density_kg_m3","process","feed_solid_frac",241.596653538385,241.596653538385,260.333494001267
"Exit_Density_kg_m3","process","feed_gas_frac",-142.587769850071,143.039882695728,143.894028646594
"Exit_Density_kg_m3","process","pop_frac",138.903758554367,138.903758554367,161.391925559286
"Exit_Density_kg_m3","process","T_process",16.9421714290781,16.9494359535894,34.0505618424132
"Exit_Density_kg_m3","process","P_feed",1.51582450295488e-14,7.5791225147744e-14,1.72275749933683e-13
"Exit_Density_kg_m3","process","gas_sat_frac",6.82121026329696e-14,8.33703476625184e-14,1.62995192777139e-13
"Exit_Density_kg_m3","process","D_b",35.560987994303,36.998460588787,91.4562816746602
"Exit_Density_kg_m3","surface","HLB_value",206.652967729507,225.777731569728,233.076852318064
"Exit_Density_kg_m3","surface","surf_dose_kg_m3",0,0,0
